"id","scan_number","advertised_device","advertised_channel","rssi","date","location"
"45","15","beacon2","38","-88","2023-04-11 21:31:05","b1"
"46","15","beacon3","38","-99","2023-04-11 21:31:05","b1"
"47","15","beacon10","37","-100","2023-04-11 21:31:07","b1"
"48","16","beacon1","37","-98","2023-04-11 21:31:11","b1"
"49","16","beacon2","38","-82","2023-04-11 21:31:11","b1"
"50","16","beacon10","38","-101","2023-04-11 21:31:12","b1"
"51","16","beacon3","38","-101","2023-04-11 21:31:13","b1"
"52","17","beacon10","37","-101","2023-04-11 21:31:17","b1"
"53","17","beacon2","37","-82","2023-04-11 21:31:18","b1"
"54","17","beacon1","37","-96","2023-04-11 21:31:18","b1"
"55","18","beacon3","37","-99","2023-04-11 21:31:23","b1"
"56","18","beacon2","37","-84","2023-04-11 21:31:24","b1"
"57","18","beacon10","38","-99","2023-04-11 21:31:27","b1"
"58","19","beacon1","37","-94","2023-04-11 21:31:29","b1"
"59","19","beacon2","38","-84","2023-04-11 21:31:29","b1"
"60","19","beacon10","37","-98","2023-04-11 21:31:29","b1"
"61","19","beacon3","38","-102","2023-04-11 21:31:32","b1"
"62","20","beacon1","38","-97","2023-04-11 21:31:35","b1"
"63","20","beacon2","39","-82","2023-04-11 21:31:35","b1"
"64","20","beacon10","37","-102","2023-04-11 21:31:38","b1"
"65","21","beacon2","37","-85","2023-04-11 21:32:03","b2"
"66","21","beacon10","38","-94","2023-04-11 21:32:03","b2"
"67","21","beacon1","38","-99","2023-04-11 21:32:04","b2"
"68","21","beacon2","39","-81","2023-04-11 21:32:05","b2"
"69","21","beacon1","38","-98","2023-04-11 21:32:07","b2"
"70","22","beacon2","37","-96","2023-04-11 21:32:09","b2"
"71","22","beacon10","38","-100","2023-04-11 21:32:09","b2"
"72","22","beacon1","37","-101","2023-04-11 21:32:10","b2"
"73","23","beacon2","37","-87","2023-04-11 21:32:15","b2"
"74","23","beacon10","37","-96","2023-04-11 21:32:16","b2"
"75","23","beacon1","37","-99","2023-04-11 21:32:17","b2"
"76","24","beacon2","37","-81","2023-04-11 21:32:21","b2"
"77","24","beacon1","37","-95","2023-04-11 21:32:21","b2"
"78","24","beacon10","37","-96","2023-04-11 21:32:22","b2"
"79","24","beacon3","38","-102","2023-04-11 21:32:23","b2"
"80","25","beacon2","37","-93","2023-04-11 21:32:27","b2"
"81","25","beacon1","38","-99","2023-04-11 21:32:28","b2"
"82","25","beacon10","38","-100","2023-04-11 21:32:28","b2"
"83","26","beacon2","37","-87","2023-04-11 21:32:34","b2"
"84","26","beacon1","37","-98","2023-04-11 21:32:34","b2"
"85","26","beacon10","37","-104","2023-04-11 21:32:35","b2"
"86","27","beacon2","37","-88","2023-04-11 21:32:39","b2"
"87","27","beacon1","37","-99","2023-04-11 21:32:39","b2"
"88","27","beacon10","37","-103","2023-04-11 21:32:40","b2"
"89","28","beacon2","37","-87","2023-04-11 21:32:45","b2"
"90","28","beacon1","37","-95","2023-04-11 21:32:45","b2"
"91","28","beacon10","37","-96","2023-04-11 21:32:46","b2"
"92","29","beacon2","37","-84","2023-04-11 21:32:51","b2"
"93","29","beacon1","37","-97","2023-04-11 21:32:51","b2"
"94","29","beacon10","37","-100","2023-04-11 21:32:52","b2"
"95","30","beacon1","37","-99","2023-04-11 21:32:57","b2"
"96","30","beacon2","37","-86","2023-04-11 21:32:57","b2"
"97","30","beacon10","37","-100","2023-04-11 21:32:58","b2"
"98","30","beacon3","37","-98","2023-04-11 21:33:00","b2"
"99","31","beacon1","37","-100","2023-04-11 21:33:03","b2"
"100","31","beacon2","37","-79","2023-04-11 21:33:03","b2"
"101","32","beacon2","37","-82","2023-04-11 21:33:09","b2"
"102","32","beacon1","37","-98","2023-04-11 21:33:11","b2"
"103","32","beacon10","37","-104","2023-04-11 21:33:11","b2"
"104","33","beacon2","37","-82","2023-04-11 21:33:15","b2"
"105","33","beacon1","37","-94","2023-04-11 21:33:15","b2"
"106","33","beacon10","38","-96","2023-04-11 21:33:16","b2"
"107","34","beacon2","37","-87","2023-04-11 21:33:22","b2"
"108","34","beacon10","38","-93","2023-04-11 21:33:22","b2"
"109","34","beacon1","37","-96","2023-04-11 21:33:24","b2"
"110","35","beacon2","37","-90","2023-04-11 21:33:27","b2"
"111","35","beacon10","37","-98","2023-04-11 21:33:28","b2"
"112","35","beacon1","37","-101","2023-04-11 21:33:28","b2"
"113","36","beacon2","37","-88","2023-04-11 21:33:33","b2"
"114","36","beacon1","37","-96","2023-04-11 21:33:33","b2"
"115","36","beacon10","37","-98","2023-04-11 21:33:34","b2"
"116","36","beacon3","37","-99","2023-04-11 21:33:36","b2"
"117","37","beacon10","38","-96","2023-04-11 21:33:39","b2"
"118","37","beacon2","38","-89","2023-04-11 21:33:39","b2"
"119","37","beacon1","37","-96","2023-04-11 21:33:41","b2"
"120","37","beacon3","38","-100","2023-04-11 21:33:41","b2"
"121","38","beacon2","37","-89","2023-04-11 21:33:45","b2"
"122","38","beacon1","37","-99","2023-04-11 21:33:45","b2"
"123","38","beacon10","38","-100","2023-04-11 21:33:46","b2"
"124","39","beacon2","37","-85","2023-04-11 21:33:51","b2"
"125","39","beacon10","37","-97","2023-04-11 21:33:52","b2"
"126","39","beacon1","38","-96","2023-04-11 21:33:54","b2"
"127","40","beacon2","37","-82","2023-04-11 21:33:57","b2"
"128","40","beacon1","37","-95","2023-04-11 21:33:57","b2"
"129","40","beacon10","37","-100","2023-04-11 21:33:58","b2"
"130","41","beacon2","39","-86","2023-04-11 21:34:25","b3"
"131","41","beacon1","37","-97","2023-04-11 21:34:26","b3"
"132","41","beacon10","37","-96","2023-04-11 21:34:26","b3"
"133","42","beacon2","37","-91","2023-04-11 21:34:31","b3"
"134","42","beacon1","37","-96","2023-04-11 21:34:32","b3"
"135","42","beacon10","37","-94","2023-04-11 21:34:32","b3"
"136","42","beacon3","38","-102","2023-04-11 21:34:32","b3"
"137","42","beacon2","39","-81","2023-04-11 21:34:32","b3"
"138","42","beacon1","37","-95","2023-04-11 21:34:33","b3"
"139","43","beacon10","38","-98","2023-04-11 21:34:37","b3"
"140","43","beacon2","37","-96","2023-04-11 21:34:38","b3"
"141","43","beacon1","38","-99","2023-04-11 21:34:38","b3"
"142","44","beacon2","37","-98","2023-04-11 21:34:43","b3"
"143","44","beacon1","37","-98","2023-04-11 21:34:44","b3"
"144","44","beacon10","37","-96","2023-04-11 21:34:44","b3"
"145","44","beacon3","38","-98","2023-04-11 21:34:44","b3"
"146","45","beacon2","37","-94","2023-04-11 21:34:49","b3"
"147","45","beacon10","38","-97","2023-04-11 21:34:49","b3"
"148","45","beacon1","37","-96","2023-04-11 21:34:50","b3"
"149","46","beacon2","37","-86","2023-04-11 21:34:55","b3"
"150","46","beacon1","38","-95","2023-04-11 21:34:56","b3"
"151","46","beacon10","37","-99","2023-04-11 21:34:58","b3"
"152","47","beacon2","37","-85","2023-04-11 21:35:01","b3"
"153","47","beacon10","37","-102","2023-04-11 21:35:02","b3"
"154","47","beacon1","38","-95","2023-04-11 21:35:02","b3"
"155","48","beacon2","37","-85","2023-04-11 21:35:07","b3"
"156","48","beacon3","38","-100","2023-04-11 21:35:09","b3"
"157","48","beacon1","38","-99","2023-04-11 21:35:10","b3"
"158","49","beacon2","37","-83","2023-04-11 21:35:13","b3"
"159","49","beacon1","37","-92","2023-04-11 21:35:15","b3"
"160","50","beacon2","37","-91","2023-04-11 21:35:19","b3"
"161","50","beacon1","37","-100","2023-04-11 21:35:20","b3"
"162","51","beacon2","37","-86","2023-04-11 21:35:25","b3"
"163","51","beacon1","37","-99","2023-04-11 21:35:25","b3"
"164","51","beacon10","37","-103","2023-04-11 21:35:26","b3"
"165","52","beacon10","38","-100","2023-04-11 21:35:31","b3"
"166","52","beacon2","37","-84","2023-04-11 21:35:32","b3"
"167","52","beacon2","39","-80","2023-04-11 21:35:34","b3"
"168","52","beacon10","37","-100","2023-04-11 21:35:34","b3"
"169","52","beacon1","37","-101","2023-04-11 21:35:34","b3"
"170","53","beacon10","38","-98","2023-04-11 21:35:37","b3"
"171","53","beacon2","37","-98","2023-04-11 21:35:37","b3"
"172","53","beacon1","37","-97","2023-04-11 21:35:38","b3"
"173","53","beacon3","37","-101","2023-04-11 21:35:41","b3"
"174","54","beacon2","37","-84","2023-04-11 21:35:44","b3"
"175","54","beacon3","38","-100","2023-04-11 21:35:46","b3"
"176","54","beacon10","38","-97","2023-04-11 21:35:46","b3"
"177","55","beacon2","37","-89","2023-04-11 21:35:49","b3"
"178","55","beacon10","37","-103","2023-04-11 21:35:50","b3"
"179","55","beacon1","37","-105","2023-04-11 21:35:53","b3"
"180","56","beacon2","37","-87","2023-04-11 21:35:56","b3"
"181","56","beacon1","38","-102","2023-04-11 21:35:56","b3"
"182","56","beacon10","38","-101","2023-04-11 21:35:57","b3"
"183","57","beacon2","37","-91","2023-04-11 21:36:01","b3"
"184","57","beacon1","37","-99","2023-04-11 21:36:01","b3"
"185","57","beacon10","37","-99","2023-04-11 21:36:02","b3"
"186","57","beacon3","37","-101","2023-04-11 21:36:05","b3"
"187","58","beacon2","37","-91","2023-04-11 21:36:07","b3"
"188","59","beacon2","38","-88","2023-04-11 21:36:14","b3"
"189","59","beacon10","38","-102","2023-04-11 21:36:15","b3"
"190","60","beacon2","37","-95","2023-04-11 21:36:19","b3"
"191","60","beacon1","37","-99","2023-04-11 21:36:20","b3"
"192","60","beacon10","37","-98","2023-04-11 21:36:22","b3"
"193","61","beacon10","37","-100","2023-04-11 21:36:47","b4"
"194","61","beacon2","39","-83","2023-04-11 21:36:47","b4"
"195","61","beacon1","37","-98","2023-04-11 21:36:48","b4"
"196","62","beacon2","39","-77","2023-04-11 21:36:53","b4"
"197","62","beacon10","38","-96","2023-04-11 21:36:54","b4"
"198","62","beacon1","38","-100","2023-04-11 21:36:55","b4"
"199","63","beacon2","39","-80","2023-04-11 21:36:59","b4"
"200","63","beacon1","38","-95","2023-04-11 21:37:00","b4"
"201","64","beacon3","38","-100","2023-04-11 21:37:05","b4"
"202","64","beacon10","38","-95","2023-04-11 21:37:06","b4"
"203","64","beacon2","37","-83","2023-04-11 21:37:06","b4"
"204","64","beacon1","38","-106","2023-04-11 21:37:08","b4"
"205","65","beacon2","39","-79","2023-04-11 21:37:14","b4"
"206","65","beacon10","38","-97","2023-04-11 21:37:14","b4"
"207","65","beacon1","37","-100","2023-04-11 21:37:14","b4"
"208","65","beacon3","38","-102","2023-04-11 21:37:14","b4"
"209","66","beacon2","39","-85","2023-04-11 21:37:17","b4"
"210","66","beacon10","37","-100","2023-04-11 21:37:17","b4"
"211","66","beacon1","37","-93","2023-04-11 21:37:18","b4"
"212","67","beacon1","38","-98","2023-04-11 21:37:23","b4"
"213","67","beacon2","39","-78","2023-04-11 21:37:24","b4"
"214","67","beacon10","38","-96","2023-04-11 21:37:24","b4"
"215","68","beacon2","39","-80","2023-04-11 21:37:29","b4"
"216","68","beacon10","38","-102","2023-04-11 21:37:30","b4"
"217","68","beacon3","38","-100","2023-04-11 21:37:32","b4"
"218","68","beacon1","37","-100","2023-04-11 21:37:33","b4"
"219","69","beacon2","39","-81","2023-04-11 21:37:36","b4"
"220","69","beacon3","37","-98","2023-04-11 21:37:36","b4"
"221","69","beacon1","37","-99","2023-04-11 21:37:38","b4"
"222","70","beacon10","37","-101","2023-04-11 21:37:41","b4"
"223","70","beacon2","37","-82","2023-04-11 21:37:42","b4"
"224","70","beacon1","38","-96","2023-04-11 21:37:43","b4"
"225","71","beacon3","38","-103","2023-04-11 21:37:47","b4"
"226","71","beacon1","38","-97","2023-04-11 21:37:47","b4"
"227","71","beacon2","37","-79","2023-04-11 21:37:48","b4"
"228","72","beacon10","37","-96","2023-04-11 21:37:53","b4"
"229","72","beacon2","39","-81","2023-04-11 21:37:54","b4"
"230","72","beacon1","37","-97","2023-04-11 21:37:56","b4"
"231","73","beacon2","39","-82","2023-04-11 21:38:00","b4"
"232","73","beacon1","37","-96","2023-04-11 21:38:00","b4"
"233","73","beacon2","38","-82","2023-04-11 21:38:01","b4"
"234","73","beacon10","38","-95","2023-04-11 21:38:03","b4"
"235","73","beacon1","37","-101","2023-04-11 21:38:03","b4"
"236","74","beacon2","37","-80","2023-04-11 21:38:06","b4"
"237","74","beacon1","37","-99","2023-04-11 21:38:09","b4"
"238","75","beacon2","39","-81","2023-04-11 21:38:11","b4"
"239","75","beacon1","37","-94","2023-04-11 21:38:12","b4"
"240","75","beacon10","38","-98","2023-04-11 21:38:13","b4"
"241","76","beacon2","37","-76","2023-04-11 21:38:18","b4"
"242","76","beacon1","37","-99","2023-04-11 21:38:18","b4"
"243","76","beacon10","38","-96","2023-04-11 21:38:21","b4"
"244","77","beacon10","37","-97","2023-04-11 21:38:23","b4"
"245","77","beacon1","38","-96","2023-04-11 21:38:23","b4"
"246","77","beacon3","38","-102","2023-04-11 21:38:23","b4"
"247","77","beacon2","37","-74","2023-04-11 21:38:24","b4"
"248","78","beacon2","39","-79","2023-04-11 21:38:29","b4"
"249","78","beacon10","38","-100","2023-04-11 21:38:33","b4"
"250","79","beacon2","39","-80","2023-04-11 21:38:36","b4"
"251","79","beacon1","37","-93","2023-04-11 21:38:36","b4"
"252","80","beacon10","38","-100","2023-04-11 21:38:44","b4"
"253","80","beacon2","37","-76","2023-04-11 21:38:44","b4"
"254","80","beacon1","38","-97","2023-04-11 21:38:44","b4"
"255","81","beacon1","37","-101","2023-04-11 21:39:09","b5"
"256","81","beacon2","38","-86","2023-04-11 21:39:10","b5"
"257","81","beacon10","37","-100","2023-04-11 21:39:11","b5"
"258","82","beacon10","37","-93","2023-04-11 21:39:16","b5"
"259","82","beacon2","37","-76","2023-04-11 21:39:16","b5"
"260","82","beacon1","37","-102","2023-04-11 21:39:17","b5"
"261","83","beacon2","38","-79","2023-04-11 21:39:22","b5"
"262","83","beacon10","37","-99","2023-04-11 21:39:22","b5"
"263","83","beacon2","38","-89","2023-04-11 21:39:24","b5"
"264","83","beacon1","38","-97","2023-04-11 21:39:25","b5"
"265","84","beacon2","38","-95","2023-04-11 21:39:28","b5"
"266","84","beacon1","37","-99","2023-04-11 21:39:29","b5"
"267","84","beacon3","38","-102","2023-04-11 21:39:29","b5"
"268","84","beacon10","38","-101","2023-04-11 21:39:30","b5"
"269","85","beacon10","37","-93","2023-04-11 21:39:34","b5"
"270","85","beacon2","39","-80","2023-04-11 21:39:34","b5"
"271","85","beacon1","38","-103","2023-04-11 21:39:35","b5"
"272","85","beacon3","38","-104","2023-04-11 21:39:37","b5"
"273","86","beacon2","38","-81","2023-04-11 21:39:40","b5"
"274","86","beacon10","37","-94","2023-04-11 21:39:41","b5"
"275","87","beacon10","37","-93","2023-04-11 21:39:46","b5"
"276","87","beacon2","37","-80","2023-04-11 21:39:46","b5"
"277","87","beacon1","37","-96","2023-04-11 21:39:46","b5"
"278","87","beacon3","38","-104","2023-04-11 21:39:49","b5"
"279","88","beacon10","37","-93","2023-04-11 21:39:52","b5"
"280","88","beacon2","39","-78","2023-04-11 21:39:52","b5"
"281","88","beacon3","37","-101","2023-04-11 21:39:55","b5"
"282","88","beacon1","38","-99","2023-04-11 21:39:55","b5"
"283","89","beacon3","37","-100","2023-04-11 21:39:58","b5"
"284","89","beacon1","38","-100","2023-04-11 21:39:58","b5"
"285","89","beacon2","38","-83","2023-04-11 21:39:58","b5"
"286","89","beacon10","37","-92","2023-04-11 21:39:58","b5"
"287","90","beacon2","39","-81","2023-04-11 21:40:04","b5"
"288","90","beacon10","37","-96","2023-04-11 21:40:04","b5"
"289","90","beacon1","37","-97","2023-04-11 21:40:05","b5"
"290","90","beacon3","37","-103","2023-04-11 21:40:05","b5"
"291","91","beacon10","37","-95","2023-04-11 21:40:10","b5"
"292","91","beacon1","38","-92","2023-04-11 21:40:10","b5"
"293","91","beacon2","37","-88","2023-04-11 21:40:10","b5"
"294","92","beacon1","38","-97","2023-04-11 21:40:16","b5"
"295","92","beacon2","38","-87","2023-04-11 21:40:16","b5"
"296","92","beacon10","37","-102","2023-04-11 21:40:16","b5"
"297","93","beacon1","38","-101","2023-04-11 21:40:22","b5"
"298","93","beacon3","38","-98","2023-04-11 21:40:22","b5"
"299","93","beacon2","37","-77","2023-04-11 21:40:22","b5"
"300","93","beacon10","38","-99","2023-04-11 21:40:22","b5"
"301","93","beacon2","37","-79","2023-04-11 21:40:25","b5"
"302","94","beacon10","37","-96","2023-04-11 21:40:28","b5"
"303","94","beacon2","39","-81","2023-04-11 21:40:28","b5"
"304","95","beacon2","38","-82","2023-04-11 21:40:34","b5"
"305","95","beacon10","37","-95","2023-04-11 21:40:34","b5"
"306","95","beacon1","37","-95","2023-04-11 21:40:36","b5"
"307","96","beacon2","39","-86","2023-04-11 21:40:40","b5"
"308","96","beacon10","37","-96","2023-04-11 21:40:40","b5"
"309","96","beacon1","38","-94","2023-04-11 21:40:41","b5"
"310","96","beacon3","38","-96","2023-04-11 21:40:41","b5"
"311","97","beacon2","39","-81","2023-04-11 21:40:46","b5"
"312","97","beacon1","38","-100","2023-04-11 21:40:47","b5"
"313","97","beacon10","38","-96","2023-04-11 21:40:48","b5"
"314","98","beacon2","38","-77","2023-04-11 21:40:52","b5"
"315","98","beacon10","37","-98","2023-04-11 21:40:52","b5"
"316","98","beacon1","37","-95","2023-04-11 21:40:53","b5"
"317","99","beacon10","37","-100","2023-04-11 21:40:58","b5"
"318","99","beacon2","39","-87","2023-04-11 21:40:58","b5"
"319","99","beacon1","38","-99","2023-04-11 21:40:59","b5"
"320","100","beacon10","37","-96","2023-04-11 21:41:04","b5"
"321","100","beacon2","39","-80","2023-04-11 21:41:04","b5"
"322","100","beacon1","37","-98","2023-04-11 21:41:05","b5"
"323","100","beacon3","37","-100","2023-04-11 21:41:05","b5"
"324","101","beacon2","37","-84","2023-04-11 21:41:32","b6"
"325","101","beacon1","37","-97","2023-04-11 21:41:32","b6"
"326","101","beacon10","38","-105","2023-04-11 21:41:33","b6"
"327","101","beacon3","37","-99","2023-04-11 21:41:35","b6"
"328","102","beacon1","37","-98","2023-04-11 21:41:38","b6"
"329","102","beacon2","38","-92","2023-04-11 21:41:38","b6"
"330","102","beacon3","38","-100","2023-04-11 21:41:38","b6"
"331","102","beacon10","37","-98","2023-04-11 21:41:41","b6"
"332","103","beacon1","37","-92","2023-04-11 21:41:44","b6"
"333","103","beacon2","37","-90","2023-04-11 21:41:44","b6"
"334","103","beacon3","38","-100","2023-04-11 21:41:44","b6"
"335","103","beacon10","38","-96","2023-04-11 21:41:45","b6"
"336","104","beacon1","37","-100","2023-04-11 21:41:50","b6"
"337","104","beacon2","38","-92","2023-04-11 21:41:50","b6"
"338","104","beacon10","37","-104","2023-04-11 21:41:50","b6"
"339","104","beacon2","38","-86","2023-04-11 21:41:51","b6"
"340","105","beacon2","38","-83","2023-04-11 21:41:56","b6"
"341","105","beacon1","38","-94","2023-04-11 21:41:56","b6"
"342","105","beacon10","37","-101","2023-04-11 21:41:58","b6"
"343","105","beacon3","38","-100","2023-04-11 21:41:59","b6"
"344","106","beacon1","37","-95","2023-04-11 21:42:04","b6"
"345","106","beacon2","37","-87","2023-04-11 21:42:04","b6"
"346","106","beacon10","37","-99","2023-04-11 21:42:04","b6"
"347","107","beacon2","37","-93","2023-04-11 21:42:08","b6"
"348","107","beacon10","37","-96","2023-04-11 21:42:08","b6"
"349","107","beacon1","37","-96","2023-04-11 21:42:09","b6"
"350","107","beacon3","38","-104","2023-04-11 21:42:11","b6"
"351","108","beacon2","38","-92","2023-04-11 21:42:14","b6"
"352","108","beacon1","37","-96","2023-04-11 21:42:14","b6"
"353","108","beacon10","37","-94","2023-04-11 21:42:14","b6"
"354","108","beacon3","38","-98","2023-04-11 21:42:14","b6"
"355","109","beacon2","37","-97","2023-04-11 21:42:20","b6"
"356","109","beacon10","37","-101","2023-04-11 21:42:20","b6"
"357","109","beacon1","37","-99","2023-04-11 21:42:21","b6"
"358","109","beacon3","38","-101","2023-04-11 21:42:22","b6"
"359","110","beacon2","37","-80","2023-04-11 21:42:26","b6"
"360","110","beacon10","38","-96","2023-04-11 21:42:27","b6"
"361","110","beacon1","37","-98","2023-04-11 21:42:27","b6"
"362","110","beacon3","37","-100","2023-04-11 21:42:27","b6"
"363","111","beacon10","37","-101","2023-04-11 21:42:32","b6"
"364","111","beacon2","37","-86","2023-04-11 21:42:33","b6"
"365","111","beacon1","38","-98","2023-04-11 21:42:34","b6"
"366","112","beacon2","37","-88","2023-04-11 21:42:38","b6"
"367","112","beacon10","37","-96","2023-04-11 21:42:38","b6"
"368","112","beacon3","38","-98","2023-04-11 21:42:38","b6"
"369","112","beacon1","37","-97","2023-04-11 21:42:41","b6"
"370","113","beacon2","38","-91","2023-04-11 21:42:44","b6"
"371","113","beacon1","38","-98","2023-04-11 21:42:44","b6"
"372","113","beacon10","37","-97","2023-04-11 21:42:46","b6"
"373","113","beacon3","38","-102","2023-04-11 21:42:46","b6"
"374","114","beacon2","38","-87","2023-04-11 21:42:50","b6"
"375","114","beacon1","38","-100","2023-04-11 21:42:50","b6"
"376","114","beacon3","38","-99","2023-04-11 21:42:50","b6"
"377","114","beacon10","37","-104","2023-04-11 21:42:50","b6"
"378","114","beacon1","37","-100","2023-04-11 21:42:52","b6"
"379","114","beacon2","37","-86","2023-04-11 21:42:52","b6"
"380","114","beacon10","37","-97","2023-04-11 21:42:53","b6"
"381","115","beacon1","37","-98","2023-04-11 21:42:56","b6"
"382","115","beacon10","37","-101","2023-04-11 21:42:56","b6"
"383","115","beacon2","39","-84","2023-04-11 21:42:57","b6"
"384","116","beacon1","37","-100","2023-04-11 21:43:02","b6"
"385","116","beacon2","38","-82","2023-04-11 21:43:02","b6"
"386","117","beacon3","37","-102","2023-04-11 21:43:08","b6"
"387","117","beacon10","37","-95","2023-04-11 21:43:08","b6"
"388","117","beacon2","37","-87","2023-04-11 21:43:09","b6"
"389","117","beacon1","38","-100","2023-04-11 21:43:11","b6"
"390","118","beacon1","38","-93","2023-04-11 21:43:14","b6"
"391","118","beacon10","38","-100","2023-04-11 21:43:15","b6"
"392","118","beacon2","37","-97","2023-04-11 21:43:15","b6"
"393","118","beacon3","38","-99","2023-04-11 21:43:17","b6"
"394","119","beacon2","38","-87","2023-04-11 21:43:20","b6"
"395","119","beacon3","38","-101","2023-04-11 21:43:21","b6"
"396","119","beacon10","38","-102","2023-04-11 21:43:22","b6"
"397","120","beacon2","38","-83","2023-04-11 21:43:26","b6"
"398","120","beacon1","38","-96","2023-04-11 21:43:26","b6"
"399","120","beacon3","38","-100","2023-04-11 21:43:26","b6"
"400","120","beacon10","38","-96","2023-04-11 21:43:27","b6"
"401","121","beacon2","37","-76","2023-04-11 21:43:54","b7"
"402","121","beacon10","37","-86","2023-04-11 21:43:55","b7"
"403","121","beacon1","38","-93","2023-04-11 21:43:56","b7"
"404","122","beacon4","37","-101","2023-04-11 21:44:00","b7"
"405","122","beacon2","37","-98","2023-04-11 21:44:00","b7"
"406","122","beacon10","38","-91","2023-04-11 21:44:00","b7"
"407","122","beacon1","37","-93","2023-04-11 21:44:00","b7"
"408","122","beacon3","38","-104","2023-04-11 21:44:01","b7"
"409","123","beacon2","37","-101","2023-04-11 21:44:06","b7"
"410","123","beacon10","38","-90","2023-04-11 21:44:06","b7"
"411","123","beacon3","37","-98","2023-04-11 21:44:08","b7"
"412","123","beacon1","38","-89","2023-04-11 21:44:08","b7"
"413","124","beacon2","37","-84","2023-04-11 21:44:12","b7"
"414","124","beacon1","37","-98","2023-04-11 21:44:12","b7"
"415","124","beacon3","37","-105","2023-04-11 21:44:12","b7"
"416","124","beacon10","37","-89","2023-04-11 21:44:13","b7"
"417","124","beacon4","37","-103","2023-04-11 21:44:15","b7"
"418","125","beacon2","37","-80","2023-04-11 21:44:18","b7"
"419","125","beacon10","38","-91","2023-04-11 21:44:18","b7"
"420","125","beacon1","37","-91","2023-04-11 21:44:18","b7"
"421","125","beacon2","37","-80","2023-04-11 21:44:18","b7"
"422","125","beacon4","38","-103","2023-04-11 21:44:18","b7"
"423","125","beacon3","38","-100","2023-04-11 21:44:19","b7"
"424","125","beacon10","38","-94","2023-04-11 21:44:19","b7"
"425","126","beacon10","38","-89","2023-04-11 21:44:24","b7"
"426","126","beacon3","37","-100","2023-04-11 21:44:24","b7"
"427","126","beacon2","38","-98","2023-04-11 21:44:25","b7"
"428","126","beacon1","38","-95","2023-04-11 21:44:25","b7"
"429","126","beacon4","37","-103","2023-04-11 21:44:26","b7"
"430","127","beacon2","37","-81","2023-04-11 21:44:30","b7"
"431","127","beacon1","37","-96","2023-04-11 21:44:30","b7"
"432","127","beacon10","37","-96","2023-04-11 21:44:31","b7"
"433","127","beacon3","37","-98","2023-04-11 21:44:32","b7"
"434","128","beacon2","37","-77","2023-04-11 21:44:36","b7"
"435","128","beacon10","38","-91","2023-04-11 21:44:36","b7"
